Denominazione,Comune,Indirizzo,Partita
AZIENDA AGRICOLA CA' ISOTTA SOCIETA' AGRICOLA DI ILEANA ZIRONDOLI E C. S.A.S.,VALSAMOGGIA,VIA PROVVIDENZA 557,1630641205.0
CORBEZZOLO DI BIANCHI MARIA PIA & C. S.A.S.,SASSO MARCONI,VIA DELL'OROLOGIO 65,806021200.0
STUDIO TOMBA DI TOMBA MICHELE E C. S.A.S.,BOLOGNA,VIA PORRETTANA 44,1871271209.0
DANNEK SAS DI LITON MOHAMMED E C.,BOLOGNA,VIA MARSALA 31/B,2597101209.0
MAZZETTI S.A.S. DI MAZZETTI MARCO & C.,BOLOGNA,VIA FIORAVANTI 42/A,2211801200.0
SANYLUX S.A.S. DI DONATI STEFANO & C.,MONZUNO,LOCALITA' BRAINE 57/A,1200310371.0
DUE ELLE S.A.S. DI CHIARA BONAGA & C.,BOLOGNA,VIA CAPRARIE 7,2181040375.0
VA.BO. COSTRUZIONI S.A.S. DI VACCARI GEOM. DARIO E C.,CASTEL MAGGIORE,VIA LIRONE 80,2095561201.0
A.M. NATT S.A.S. DI AKHTAR MAHMOOD & C.,BOLOGNA,VIA FERRARESE 67/E,3085151201.0
MARA PACCHIONI S.A.S. DI CLO' LARA & C.,VALSAMOGGIA,VIA GRAZIA DELEDDA 7/2,2314381209.0
GAMMA S.A.S. DI ZUDOR IZABELLA ANDREA & C.,GRANAROLO DELL'EMILIA,VIA GRAMSCI 30,1642591208.0
LASS INTERNATIONAL S.A.S. DI SABINI GIUSEPPE & C.,BOLOGNA,VIA SAN GERVASIO 05,4051400374.0
MOVE IN LIFE DI UMBERTO GALLINI & C. S.A.S.,BOLOGNA,VIA ALTABELLA 11,2573971203.0
S.A.S. GARAGNANI ASSFINGESCO DI MARZOCCHI CHIARA E C.,BOLOGNA,VIALE PIETRAMELLARA 33,1101700373.0
